Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
tiger	/'taigә/	n. 老虎, 虎, 凶暴的人	n. a fierce or audacious person	8	8	[S01E24] Hey, hold on there, tiger. How's it going? How you holding up? ◆ [S02E22] [running out of his apartment after a girl] Ok, ok, you can be shirts and I'll be skins. I'll be skins. [sits down besid ◆ [S04E19] Easy tiger. ◆ [S05E11] Tiger!  Dragon! Iceberg!!  Joseph, did you even study at all last night? ◆ [S05E12] Well, I gotta tell ya Bing; that partner of yours is a real tiger.  Are you all right sweethart?	S01E24(1), S02E22(1), S04E19(1), S05E11(1), S05E12(1), S05E18(1), S08E04(1), S09E11(1)
tight	/tait/	a. 紧的, 密封的, 吝啬的, 严厉的	a. closely constrained or constricted or constricting	23	19	[S01E17] Thanks, Dad, really, I ju... you know, I just, I just needed to know, um... when did you start to feel like a father? Mr ◆ [S01E22] Windows are clean, candels are lit. Uh, belt's to tight, gotta change the belt. Did I turn the fish?  No, cause I made l ◆ [S02E08] Oh, I know. This must be so hard. Oh, no. Two women love me. They're both gorgeous and sexy. My wallet's too small for m ◆ [S03E13] Jeez, thank you really that is so nice. But um, to be honest, I don’t think I can wear these, they’re so tight, I feel l ◆ [S04E04] Sure, yeah, no I can do that, yeah, because umm, y'know, the muscles in the siadic area can get y’know, real  nice and t	S01E17(1), S01E22(1), S02E08(1), S03E13(1), S04E04(1), S05E11(1), S05E13(1), S05E16(1), S06E06(1), S06E09(3), S06E12(1), S06E13(1), S07E18(2), S07E20(2), S08E08(1), S08E14(1), S09E05(1), S09E21(1), S10E16(1)
tighten	/'taitn/	vt. 勒紧, 使变紧	v. make tight or tighter	1	1	[S07E03] Okay Joey, we’re luffing a little bit, so could you tighten up the cunningham?	S07E03(1)
til	/til/	n. 芝麻	prep. & conj. See Till.	21	19	[S03E08] Well, you could wait ‘til I go to the dentist, maybe I’ll kill him. ◆ [S04E01] Yeah. Let’s see, my had Mom killed herself, and my Dad had run off, and I was living in a Gremlin with a guy named Cindy ◆ [S04E02] Oh yeah! I got in there myself once. My roommate bet me five bucks that I couldn’t, and then he stuck a board through th ◆ [S04E08] This is so cool, ‘til Monica gets back, it’s like I’m head chef and I get to make all the decisions. ◆ [S04E09] Well of those things that you said in the interview, I mean if you believe any of them, I must not be a very good assist	S03E08(1), S04E01(1), S04E02(1), S04E08(1), S04E09(1), S04E18(1), S04E20(1), S06E04(1), S06E20(1), S06E23(1), S07E03(1), S07E04(1), S07E11(1), S07E19(2), S07E20(1), S08E02(2), S08E03(1), S08E15(1), S08E21(1)
tile	/tail/	n. 砖瓦, 瓷砖, 瓦片	n. a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces	8	7	[S01E05] Ugly Naked Guy's laying kitchen tile. Eww! ◆ [S01E17] Marcel swallowed a Scrabble tile. ◆ [S02E19] So is he housetrained or is he gonna leave little bathroom tiles all over the place? Stay. Good, STAY! Good fake dog. ◆ [S03E05] Oh Monica, listen, I ah, I saw down at the hardware store, they got those designer tiles on sale. If you ever want to re ◆ [S03E11] Eavesdropping. Pheebs, the ceiling tiles were falling down.	S01E05(1), S01E17(1), S02E19(1), S03E05(2), S03E11(1), S08E07(1), S08E13(1)
till	/til/	prep. 直到, 在...以前, 迄	n. unstratified soil deposited by a glacier; consists of sand and clay and gravel and boulders mixed	17	15	[S01E16] I’m gonna wait till after we order. It’s her, right. ◆ [S01E21] Right. Till I bought a blow dryer, then I was shunned. ◆ [S02E08] Especially the after taste, you know, I'll tell ya, that'll last ya till Christmas. ◆ [S02E19] Ok, well then get some sense. I mean it took you what, 10 years to get that job, who knows how long it's gonna be till y ◆ [S04E23] As my lawfully wedded husband, in sickness and in health, till death parts us.	S01E16(1), S01E21(1), S02E08(1), S02E19(1), S04E23(1), S04E23-uncut(2), S05E01(1), S05E14(1), S06E19(1), S07E21(1), S09E04(1), S09E05(1), S09E14(2), S10E12(1), S10E15(1)
tillman		蒂尔曼（人名）	n. A man who tills the earth; a husbandman.	2	1	[S06E15-E0616] Rob Tillman!	S06E15-E0616(2)
tilt	/tilt/	n. 倾斜, 倾向, 船篷, 车篷	n. a slight but noticeable partiality	2	2	[S01E02] You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato. ◆ [S02E15] I've been great, just great. How have you been? [tilting her head]	S01E02(1), S02E15(1)
timely	/'taili/	a. 及时的, 适时的	s. before a time limit expires	1	1	[S09E10] I... thought it was a timely start to thinking about other people. Besides, this gift still says I love you guys.	S09E10(1)
timer	/'taimә/	n. 计时员, 计时器	n. a timepiece that measures a time interval and signals its end	5	3	[S02E17] Well OK then. [oven timer goes off behind Chandler] Was that the oven timer? ◆ [S03E09] Thirty seconds left on the timer! ◆ [S05E13] It's your timer.	S02E17(3), S03E09(1), S05E13(1)
tin	/tin/	n. 锡, 马口铁, 罐头	n. a silvery malleable metallic element that resists corrosion; used in many alloys and to coat othe	4	4	[S04E17] Oh this, well I’m glad you asked.  Now, don’t you hate it when you have to cut a tin can with an ordinary steak knife?   ◆ [S06E14] Oh that makes me feel so warm in my hollow tin chest. ◆ [S07E23] We may not have any weapons, but we still have food. In the basement I saw potatoes and some dry pasta, and a few tins o ◆ [S10E08] 2 minutes, 12 pies and a part of one tin! Okay, I see you guys at 4.	S04E17(1), S06E14(1), S07E23(1), S10E08(1)
tingly	/'tiŋɡli/	a. 有刺痛感的；引起激动的		1	1	[S07E18] Okay, stop it Phoebe, you’re getting me all tingly.	S07E18(1)
tinker	/'tiŋkә/	n. 补锅匠, 会做各种修补活计的人	n. a person who enjoys fixing and experimenting with machines and their parts	1	1	[S03E09] Nice try.  See the Netherlands is this make believe place where Peter Pan and Tinker Bell come from.	S03E09(1)
tinkle	/'tiŋkl/	n. 叮当声	v. make or emit a high sound	3	3	[S01E06] Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.  All you want is ◆ [S08E19] All you want is a dingle, What you envy's a schwang, A thing through which you can tinkle, Or play with, or simply let h	S01E06(1), S06E20(1), S08E19(1)
tinsel	/'tinsl/	n. 金属丝, 金属箔, 俗丽的东西	n. a showy decoration that is basically valueless	1	1	[S03E10] No, no, I am against innocent trees being cut down in their prime, and their, their corpses grotesquely dressed in like 	S03E10(1)
tint	/tint/	n. 色彩, 浅色	v. color lightly	1	1	[S03E17] What? Mine aren’t tinted.	S03E17(1)
tiny	/'taini/	a. 很少的, 微小的	s very small	45	36	[S01E03] I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker! ◆ [S01E11] Hard to tell, they're so tiny and upside-down. Wait, wait. They're walking away... they're walking away... No, no they'r ◆ [S01E17] He looks so tiny. ◆ [S01E23] They're tiny and chubby and so sweet to touch, and soon they'll grow up and resent you so much. Now they're yelling at y ◆ [S01E24] No it's not. It's small. It's tiny. It's petite. It's wee.	S01E03(1), S01E11(1), S01E17(1), S01E23(1), S01E24(1), S02E03(2), S02E04(1), S03E01(1), S03E07(1), S03E08(1), S03E09(1), S03E17(1), S04E07(1), S04E10(1), S04E12(1), S05E13(1), S05E14(1), S05E15(1), S06E08(2), S06E10(1), S06E14(1), S07-Outtakes(2), S07E05(2), S07E07(1), S07E11(1), S08E01(1), S08E02(2), S08E03(1), S08E15(1), S08E23(3), S09E05(1), S09E08(1), S09E19(2), S10E02(1), S10E09(1), S10E17-E1018(2)
tip	/tip/	n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息	n. the extreme end of something; especially something pointed	33	24	[S01E01] Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it st ◆ [S01E03] No, no, no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger. ◆ [S01E16] Pretty well. Except for the stapler thing.  Little tip: if you’re ever in a similar situation, never ever leave your han ◆ [S02E05] Plus tip, divided by six. Ok, everyone owes 28 bucks. ◆ [S02E09] Hey, how much did you guys tip the super this year?	S01E01(1), S01E03(2), S01E16(1), S02E05(1), S02E09(4), S02E15(2), S02E20(1), S02E22(1), S03E07(1), S03E18(3), S04E05(1), S05E08(1), S05E14(1), S05E16(1), S05E23(1), S06E08(1), S06E12(1), S06E17(2), S07E15(1), S07E17(2), S07E18(1), S08E16(1), S09E22(1), S10E17-E1018(1)
tipper	/'tipә/	[化] 翻斗车	n. a person who leaves a tip	1	1	[S07E13] Well okay, it’s already February and I’ve only given two massages and they were both the worst tippers in the world!	S07E13(1)
tire	/taiә/	n. 轮胎, 头饰	n. hoop that covers a wheel	53	40	[S02E14] No, listen to me. I fell for you and I get clobbered. You then fall for me and I again, somehow, get clobbered. I'm tire ◆ [S03E01] I know, I know. I'm just so tired of-of missing him. I'm tired of wondering why hasn't he called. Why hasn't he called! ◆ [S03E03] I'm going into business people. I'm sick and tired of being depressed about Richard. I needed a plan, a plan to get over ◆ [S03E10] Well, I’m pretty tired from lugging the trees around all day. Hey, Phoebe listen, you got this all wrong. Those trees we ◆ [S03E11] Yeah, look I was with my friend downstairs and we hear everything up here that you do, and I am sick and tired... .	S02E14(1), S03E01(4), S03E03(1), S03E10(1), S03E11(1), S03E15(1), S03E21(1), S04E01(2), S04E02(1), S04E19(1), S04E20(1), S04E21(1), S05E05(1), S05E09(1), S05E11(2), S05E15(1), S05E17(2), S05E20(1), S05E22(1), S05E23(1), S06E11(1), S06E15-E0616(1), S06E17(2), S06E22(1), S06E23(1), S07E01(2), S07E08(1), S07E23(1), S08E06(2), S08E07(1), S09E01(3), S09E02(1), S09E22(3), S10E01(1), S10E02(1), S10E06(1), S10E07(1), S10E08(1), S10E15(1), S10E17-E1018(1)
tissue	/'tiʃu:/	n. 薄的织物, 薄纱, 棉纸, 组织, 一套	n. part of an organism consisting of an aggregate of cells having a similar structure and function	18	15	[S02E05] I don't know. I just had this weird sense. You know, but that's me. I'm weird and sensitive. Tissue? ◆ [S02E08] Ok, all right. We want to hear everything. Monica, get the wine and unplug the phone. Rachel, does this end well or do w ◆ [S03E14] Well okay, let this be a lesson to all of you, all right. Once you, once you betray me, I become like the ice woman, y’k ◆ [S03E15] Oh.  Can I have a tissue? ◆ [S03E17] Well, they never have any paper in there y'know. So my rule is ‘no tissue, no tuschy.’  Well, if everybody’s going.	S02E05(1), S02E08(1), S03E14(1), S03E15(1), S03E17(1), S04E21(1), S06E02(1), S06E13(3), S06E14(1), S06E18(1), S06E23(2), S07E07(1), S07E17(1), S07E23(1), S08E23(1)
tit	/tit/	n. 山雀, 打击, 轻佻女人, 奶头, 按钮	n either of two soft fleshy milk-secreting glandular organs on the chest of a woman	2	2	[S01E13] C'mon, he's right. Tit for tat. ◆ [S03E18] Oh dark mother, once again I suckle at your smokey tit.	S01E13(1), S03E18(1)
titanic	/tai'tænik/	a. 四价钛的	s. of great force or power	4	4	[S03E06] Oh my God, you can’t even see where the Titanic hit it. ◆ [S04E23] Because he’s crazy. Okay? He came up to me earlier and thanked me for my very moving performance in Titanic. ◆ [S04E23-uncut] Because he's crazy. Okay? He came up to me earlier and thanked me for my very moving performance in Titanic. ◆ [S07E09] Hey, you cry every time somebody talks about Titanic!	S03E06(1), S04E23(1), S04E23-uncut(1), S07E09(1)
toast	/tәust/	n. 吐司, 烤面包, 干杯	n. slices of bread that have been toasted	40	18	[S01E09] I'd like to propose a toast. Little toast here, ding ding. I know this isn't the kind of Thanksgiving that all of you al ◆ [S01E20] Yeah, toast, oatmeal... nothing that spatters. ◆ [S02E10] She's just upset because she, uh, she buttered a spider into her toast this morning. ◆ [S02E24] Well, uh, sometimes I think about selling my practice, we could move to France, make French toast. ◆ [S03E06] That’s all right.  I mean hard is it to get a couple drinks right, huh? Friend No. 1: Well, I would like to propose a to	S01E09(2), S01E20(1), S02E10(1), S02E24(3), S03E06(1), S04E23(4), S04E23-uncut(4), S05E06(1), S06E24(3), S07E02(1), S07E06(1), S07E07(1), S08E01(2), S08E18(9), S09E05(2), S10E02(1), S10E10(1), S10E12(2)
toasties		(toasty 的复数) adj. 温暖舒适的	plural of toasty	2	1	[S04E06] Uh... Oh hey, do you, uh  ...do you have any, um, Cinnamon Fruit Toasties?	S04E06(2)
toblerone		n. 三角巧克力		1	1	[S04E17] Ross! Ross! If you’re going to the airport, could you pick me up another one of those Toblerone bars?	S04E17(1)
toby	/'tәubi/	n. 人形水罐	n. a drinking mug in the shape of a stout man wearing a three-cornered hat	13	2	[S01E24] : Toby... Oh, for God's sake, I don't know what she's talking about! There's no Rachel! Don't give me that deep freeze. ◆ [S08E05] Hey Toby! Have a good night.	S01E24(1), S08E05(12)
toe	/tәu/	n. 足趾, 趾部, 脚趾	n. one of the digits of the foot	25	18	[S01E04] Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. I mean, th ◆ [S01E12] I love babies, with their little baby shoes, and their little baby toes, and their little baby hands... ◆ [S01E14] You know, ever since I was little, I've been able to pick up quarters with my toes. ◆ [S01E19] Well, I mean, do you think you can ever have both? Y'know? Someone who's like, who's like your best friend, but then als ◆ [S03E14] My best shoes, so good to me. I wear them everyday. Down at the heel, holes in the toes. Don’t care what people say. My 	S01E04(1), S01E12(1), S01E14(1), S01E19(2), S03E14(1), S03E17(1), S04E04(1), S04E11(2), S04E23-uncut(1), S05E01(1), S05E03(1), S05E08(6), S07E18(1), S07E22(1), S08E10(1), S08E15(1), S09E23-E0924(1), S10E03(1)
toenail	/'tәuneil/	n. 脚趾甲, 斜钉	n. the nail at the end of a toe	1	1	[S03E25] You painting his toenails?	S03E25(1)
tofu	/'tәufu:/	n. 豆腐	n cheeselike food made of curdled soybean milk	1	1	[S07E11] Oh it’s umm, it’s tofu cake. Do you want some?	S07E11(1)
toilet	/'tɒilit/	n. 厕所, 梳妆	n. a room or building equipped with one or more toilets	29	21	[S01E08] Well yeah! ...Oh God. I- just- I thought- Good, Shelley. I'm just gonna go flush myself down the toilet now... Okay, goo ◆ [S01E14] Oh, man. In my next life, I'm coming back as a toilet brush. ◆ [S02E09] Ahh, toilet seat covers! Is that what you were doing while I was getting gas? ◆ [S02E12-E0213] And you left the toilet seat up, you bastard. [throws water in his face] ◆ [S02E17] Yeah. Uh, oh, OH, the best part, c'mon. [leads them to the bathroom, gestures towards toilet, everyone stares, uncompreh	S01E08(1), S01E14(1), S02E09(1), S02E12-E0213(2), S02E17(2), S02E19(2), S02E23(1), S03E03(1), S04E05(1), S04E15(1), S04E19(1), S06E04(1), S06E06(1), S06E23(1), S07E16(3), S07E17(2), S07E23(1), S09E07(1), S09E10(1), S09E16(3), S10E07(1)
toiletry	/'tɔilitri/	n. 化妆用品, 梳妆用具, 化妆用具	n. artifacts used in making your toilet (washing and taking care of your body)	2	2	[S03E21] Oh, what’d ya bring me?!  Awww, hotel toiletries from Japan. Oh, these are gonna go in my permanent collection. You want ◆ [S09E19] Hi, this is Ross Geller in suite 206. It seems you forgot a couple of things. Could you have some complimentary toiletri	S03E21(1), S09E19(1)
tokyo	/'tәukjәu/	n. 东京	n. the capital and largest city of Japan; the economic and cultural center of Japan	1	1	[S04E17] Then you go to Tokyo.	S04E17(1)
toll	/tәul/	n. 通行费, 代价, 钟声	n. a fee levied for the use of roads or bridges (used for maintenance)	1	1	[S03E22] Phoebe, 800 is toll free, 801 is-is Utah.	S03E22(1)
tollhouse	/'tәulhaus/	n. 通行税征收处	n a booth at a tollgate where the toll collector collects tolls	1	1	[S07E03] Nestle Tollhouse?!	S07E03(1)
tomato	/tә'mɑ:tәu/	n. 番茄, 西红柿	n. mildly acid red or yellow pulpy fruit eaten as a vegetable	17	12	[S01E09] Chandler, here you go, got your traditional Thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, a ◆ [S01E13] ...I d'know. Mr. Tribbiani: Then y'haven't. You're burning your tomatoes. ◆ [S02E12-E0213] OK, you wanna play? OK, let's play, let's play. [She grabs a jar of tomato sauce and Monica's purse] ◆ [S02E14] Well, I thought that I would cut up the tomatos. ◆ [S02E19] That's a tomato. This one definitely goes in the display.	S01E09(1), S01E13(1), S02E12-E0213(1), S02E14(1), S02E19(1), S03E04(3), S03E13(2), S04E09(1), S05E18(1), S06E20(1), S08E16(3), S09E05(1)
tombstone	/'tu:mstәun/	n. 墓石, 墓碑	n a stone that is used to mark a grave	2	1	"[S06E02] Well, I tried! But when I got to my lawyer’s office all I could hear was, ""Three divorces. Three divorces!"" Look, I just"	S06E02(2)
ton	/tʌn/	n. 吨	n a United States unit of weight equivalent to 2000 pounds	18	17	[S01E05] What's going on here? You go out with tons of girls. ◆ [S02E12-E0213] So, assistant to the director. That's a really exciting job, I mean, you must have a ton of cool responsibilities. DIREC ◆ [S03E13] Yeah, I know. I had the greatest day though, I got to sit in on the meeting with the reps from Calvin Klien. I told my b ◆ [S03E14] What? Why not? You could make a ton of money. ◆ [S04E02] This is the unit for you my friend. Sturdy construction, tons of storage compartments, some big enough to fit a grown ma	S01E05(1), S02E12-E0213(1), S03E13(1), S03E14(1), S04E02(1), S05E18(2), S05E23(1), S06E06(1), S07E02(1), S07E05(1), S07E16(1), S08E09(1), S09E17(1), S09E23-E0924(1), S10E07(1), S10E10(1), S10E17-E1018(1)
tone	/tәun/	n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态	n. the quality of a person's voice	15	11	"[S01E09] That tone will not make me go any faster. ◆ [S01E15] Celia, don't worry!  Don't scream!  He's not going to hurt you! Soothing tones, Celia. Soothing tones! Marcel... ◆ [S03E02] ""Hi, this is Richard. Please, leave a message at the tone."" ◆ [S04E05] Well, that's pretty good. But you might wanna tone it down a little. ◆ [S04E23] I go back there with lawn ornaments, he’s going to laugh in my face. Mrs. Waltham: This is ridiculous. I mean we had an "	S01E09(1), S01E15(2), S03E02(2), S04E05(1), S04E23(1), S04E23-uncut(1), S07E03(1), S08E23(1), S09E18(2), S09E19(2), S10E15(1)
toner	/'tәunә/	n. 调色剂	n. a solution containing chemicals that can change the color of a photographic print	14	1	[S07E13] So basically this is very easy. You read from the script and try to sell as much toner as you possibly can.	S07E13(14)
tongue	/tʌŋ/	n. 舌, 语言能力, 讲话方式, 语言	n. a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity	21	18	[S01E05] Close? She's got her tongue in his ear. ◆ [S01E06] Oh God, I can't believe I'm even considering this... I'm very very aware of my tongue... ◆ [S01E15] I want to take my tongue... and... ◆ [S02E06] Is your tongue swelling up? ◆ [S02E08] Tongue?	S01E05(1), S01E06(1), S01E15(1), S02E06(2), S02E08(1), S03E05(2), S03E11(2), S03E13(1), S03E18(1), S03E20(1), S04E16(1), S04E18(1), S05E18(1), S06E14(1), S07E14(1), S08E20(1), S09E03(1), S10E12(1)
tonka		[医] 香豆属		1	1	[S07E02] Oh, it’s my fault?! You didn’t have to massage him! You could’ve sent him away! You could’ve not rolled Tonka trucks up 	S07E02(1)
tonne	/tʌn/	n. 吨, 公吨	n a unit of weight equivalent to 1000 kilograms	1	1	[S04E18] Oh, there’s tonnes of terrific stuff—I’ll go with you!	S04E18(1)
tonsil	/'tɒnsl/	n. 扁桃体	n. either of two masses of lymphatic tissue one on each side of the oral pharynx	3	3	[S01E11] That would be no. Look, just because you played tonsil tennis with my mom doesn't mean you know her. Alright? Trust me,  ◆ [S04E12] Yeah.  I bet you can’t guess what color my tonsils are? I’ll bet the apartment! ◆ [S09E21] Oh, I don't know, they seem to have a shared interest in each other's tonsils...	S01E11(1), S04E12(1), S09E21(1)
toot	/tu:t/	n. 嘟嘟声, 作乐	n. a blast of a horn	1	1	[S05E23] Fine! Here! Take a hike toots!	S05E23(1)
tooth	/tu:θ/	n. 牙齿, 齿状物, 爱好	n. hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack an	5	5	[S01E10] ...I think that bitch cracked my tooth. ◆ [S03E08] No, no, it’s just my tooth. ◆ [S04E16] I’m fine! I’m fine! I’m just losing a tooth, it’s no big deal. I have a dentist! Y’know. I’m gonna go put some ice on it ◆ [S07E11] Oh, y’know I'm not that much of a sweet tooth. I——Wow. My God, so creamy. Oh my God, this is the best cheesecake I have  ◆ [S10E01] Hit yourself in the tooth?	S01E10(1), S03E08(1), S04E16(1), S07E11(1), S10E01(1)
toothbrush	/'tu:θbrʌʃ/	n. 牙刷	n. small brush; has long handle; used to clean teeth	5	3	[S02E16] Well don't you see how gross that is? I mean that's like you using my toothbrush. [Joey gets a sheepish look] You used m ◆ [S09E19] Hi, this is Ross Geller in suite 206. It seems you forgot a couple of things. Could you have some complimentary toiletri ◆ [S10E02] Underwear, a toothbrush, and Van Halen CD. I can use all these things!!	S02E16(3), S09E19(1), S10E02(1)
toothier		美味的（toothy的比较级）	s. having or showing prominent teeth	1	1	[S09E04] : Is this not the good part? Do you want me to fast forward to something a little toothier.	S09E04(1)
toothless	/'tu:θlis/	a. 无齿的	a. lacking teeth	1	1	[S01E04] See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.	S01E04(1)
toothpaste	/'tu:θpeist/	n. 牙膏	n. a dentifrice in the form of a paste	1	1	[S09E19] Hi, this is Ross Geller in suite 206. It seems you forgot a couple of things. Could you have some complimentary toiletri	S09E19(1)
toothpick	/'tu:θpik/	n. 牙签	n. pick consisting of a small strip of wood or plastic; used to pick food from between the teeth	1	1	[S07E19] And-and-and-and-and the toothpicks?	S07E19(1)
topless	/'tɒplis/	a. 无顶的, 袒胸的	a. having no top	3	3	[S03E21] Okay, so I guess that’s about ah, two weeks before the topless thing kicks in. ◆ [S07E03] And you’ll be topless? ◆ [S09E10] Actuary... no. Book-keeper... no. Topless dancer...   Hey, d'you know what I just realized? You are the sole wage earner	S03E21(1), S07E03(1), S09E10(1)
topping	/'tɒpiŋ/	a. 极好的, 主要的, 一流的	n. a flavorful addition on top of a dish	2	2	[S09E23-E0924] David, let me stop you there 'cause I think I see where this is going. I'm not very good at giving advice. So if you wan ◆ [S10E11] Pizza toppings, next!	S09E23-E0924(1), S10E11(1)
torch	/tɒ:tʃ/	n. 火把, 启发之物	n. a light usually carried in the hand; consists of some flammable substance	2	1	[S10E11] Or you could teach stripping. You know, share your gift, pass the torch.	S10E11(2)
torme		托尔梅		1	1	[S07E11] Awww! Mel Torme died.	S07E11(1)
torment	/'tɒ:ment/	n. 使人痛苦的东西, 折磨者, 苦痛	v. torment emotionally or mentally	1	1	[S05E06] Okay, stop tormenting me! This mink! Okay, they're mean! And they hate squirrels! And y'know, okay, most of these probab	S05E06(1)
tornado	/tɒ:'neidәu/	n. 旋风, 龙卷风, 大雷雨	n. a localized and violently destructive windstorm occurring over land characterized by a funnel-sha	1	1	[S06E05] And protected them from a tornado?	S06E05(1)
torso	/'tɔ:sәu/	n. 躯干, 裸体躯干雕像	n. the body excluding the head and neck and limbs	1	1	[S02E14] Over here dad. [he pans over and we see a torso taking up the whole screen] MR, GELLER: Wait, how do you zoom out? [zoom	S02E14(1)
tort	/tɒ:t/	n. 民事侵权行为	n. (law) any wrongdoing for which an action for damages may be brought	1	1	[S09E15] Anyway, I was heading towards this bakery, you know, to pick up a couple of dozen Linzer torts for someone…  … when outt	S09E15(1)
torte	/tɔ:t/	n. 德国大蛋糕,果子奶油蛋糕	n. rich cake usually covered with cream and fruit or nuts; originated in Austria	1	1	[S10E09] Chocolate Torte for the lady, cheesecake for the gentleman.	S10E09(1)
tortilla	/tɔ:'tilә/	n. 玉米饼	n. thin unleavened pancake made from cornmeal or wheat flour	3	3	[S04E12] Okay. Uhh, tortilla chips, yogurt. ◆ [S05E17] Honey, the tortilla chips know what you mean. ◆ [S05E18] Oh, come on! Have you seen what my kid can do?! Huh?! I mean he dials phones! He-he-he eats tortilla chips! He-he plays 	S04E12(1), S05E17(1), S05E18(1)
torture	/'tɒ:tʃә/	n. 拷问, 苦闷	n. unbearable physical pain	6	6	[S04E07] I just walked in the bathroom and saw Kathy naked! It was like torture! ◆ [S05E13] I'm telling you, she gives the worst massages ever!! Okay, it was like she was torturing me for information. And I wante ◆ [S05E14] Oh Ross, honey you gotta stop torturing yourself! ◆ [S07E16] Oh, you’re one of those. But y’know what? I have two sisters of my own and we just-just tortured each other. ◆ [S08E15] Okay.  Ooh, my!  Woah! Why is that baby torturing that woman?!	S04E07(1), S05E13(1), S05E14(1), S07E16(1), S08E15(1), S10E03(1)
toss	/tɒs/	n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定	n. an abrupt movement	10	10	[S02E07] [on phone] Ross, hi, it's Rachel. I'm just calling to say that um, everything's fine and I'm really happy for you and yo ◆ [S02E16] So I got ya something. [tosses Joey a bag of plastic spoons] ◆ [S02E17] Hey Chan, is that Joey guy gonna come by and pick up his moose hat or should I just toss it out? ◆ [S02E18] Hey I didn't kill your fish. Look Eddie...[puts his hand on Eddie's shoulder] Would you look at what I'm doin' here. Tha ◆ [S04E12] Okay, each team will answer ten questions. The first team that answers the most questions wins. Okay, the categories are	S02E07(1), S02E16(1), S02E17(1), S02E18(1), S04E12(1), S06E12(1), S08E05(1), S08E17(1), S10E11(1), S10E16(1)
tot	/tɒt/	n. 小孩, 少量, 合计	n. a small amount (especially of a drink)	3	1	[S01E09] Hey, Monica, I got a question. I don't see any tater tots.	S01E09(3)
totally	/'tәutli/	adv. 完全地	r to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly	279	145	[S01E01] Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked. ◆ [S01E02] Marty's still totally paranoid. Oh, and, uh- ◆ [S01E04] God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totally——not worth it. ◆ [S01E07] Y'know, I know it's totally superficial and we have absolutely nothing in common, and we don't even speak the same langu ◆ [S01E09] Oh, I believe it. I think the baby can totally hear everything. I can show you. Look, this will seem a little weird, but	S01E01(1), S01E02(1), S01E04(3), S01E07(1), S01E09(2), S01E12(3), S01E17(1), S01E18(2), S01E19(2), S01E20(2), S01E21(1), S02E01(1), S02E02(3), S02E03(2), S02E04(2), S02E10(1), S02E11(1), S02E12-E0213(2), S02E14(1), S02E15(1), S02E18(1), S02E19(4), S02E20(1), S02E23(2), S02E24(2), S03E01(2), S03E02(2), S03E04(3), S03E05(2), S03E06(2), S03E07(1), S03E10(1), S03E11(1), S03E12(3), S03E13(1), S03E14(2), S03E15(1), S03E16(3), S03E17(2), S03E18(2), S03E21(2), S03E22(1), S03E23(2), S03E24(3), S03E25(4), S04E03(3), S04E04(1), S04E07(4), S04E08(2), S04E09(1), S04E10(2), S04E11(4), S04E13(2), S04E14(3), S04E15(2), S04E16(2), S04E17(1), S04E18(2), S04E19(1), S04E20(2), S04E21(1), S04E22(2), S04E23(1), S04E23-uncut(1), S05E02(2), S05E04(3), S05E06(5), S05E07(1), S05E08(2), S05E09(1), S05E10(1), S05E14(4), S05E15(2), S05E16(1), S05E17(2), S05E18(2), S05E19(2), S05E20(2), S05E21(1), S05E23(5), S06E03(1), S06E05(3), S06E08(2), S06E09(2), S06E10(1), S06E11(2), S06E12(2), S06E14(2), S06E15-E0616(2), S06E17(2), S06E20(3), S06E22(3), S06E24(3), S07E02(1), S07E06(1), S07E07(1), S07E09(1), S07E11(1), S07E14(3), S07E16(2), S07E17(1), S07E18(4), S07E19(2), S07E20(1), S07E21(1), S07E23(2), S08E04(1), S08E05(1), S08E07(1), S08E08(2), S08E09(1), S08E10(1), S08E12(3), S08E16(2), S08E17(1), S08E19(2), S08E20(2), S08E21(1), S08E23(1), S09E01(1), S09E04(1), S09E05(1), S09E06(2), S09E07(2), S09E08(6), S09E11(1), S09E12(3), S09E13(7), S09E14(1), S09E16(1), S09E17(1), S09E18(1), S09E19(2), S09E21(1), S09E22(5), S09E23-E0924(1), S10E01(1), S10E02(4), S10E03(1), S10E07(2), S10E09(1), S10E10(1), S10E11(5), S10E13(2), S10E17-E1018(1)
